order_purchase_timestamp,total_rev_order,smoothed_order_value
2017-03-07,2792.13,2598.027142857143
2017-03-08,2479.79,2339.641428571428
2017-03-09,2552.21,2471.874285714286
2017-03-10,2477.88,2491.39
2017-03-11,2151.16,2488.11
2017-03-12,1910.1,2518.9714285714285
2017-03-13,3871.1800000000003,2604.921428571429
2017-03-14,2861.32,2614.805714285714
2017-03-15,3584.55,2772.628571428572
2017-03-16,2912.87,2824.151428571429
2017-03-17,1817.42,2729.7999999999997
2017-03-18,2587.26,2792.1
2017-03-19,3347.92,2997.502857142857
2017-03-20,3196.57,2901.13
2017-03-21,3492.66,2991.3214285714284
2017-03-22,3478.01,2976.1014285714286
2017-03-23,3755.29,3096.447142857143
2017-03-24,2290.18,3163.9842857142858
2017-03-25,1962.43,3074.722857142857
2017-03-26,2216.31,2913.0642857142857
